gene,score_logreg,score_wilcoxon
ankrd1.L,0.18359674513339996,
loc100487808.L,0.18146555125713348,
Xelaev18041419m.g,0.18052232265472412,
cnn1.S,0.18026165664196014,
gsn.S,0.17987628281116486,
hmox1.L,0.17758432030677795,
col1a1.S,0.1771472841501236,
cldn6.2.S,0.17695078253746033,
insig1.L,0.17679700255393982,
Xelaev18000342m.g,0.1759972870349884,16.894433975219727
insm1.L,0.17505240440368652,
loc100495690.L,0.17457644641399384,
camk1.L,0.17344817519187927,
hes5.2.S,0.173072949051857,
fgl2.L,0.17168116569519043,
hacd1.L,0.17115649580955505,
Xelaev18047464m.g,,60.554527282714844
Xelaev18047460m.g,,52.46541976928711
MGC75752.L,,48.675235748291016
hbg2.L,,47.76801300048828
Xelaev18047452m.g,,41.87420654296875
cfb.L,,39.39010238647461
Xelaev18045082m.g,,36.31855392456055
Xelaev18047453m.g,,36.0958137512207
Xelaev18045100m.g,,32.24462127685547
Xelaev18037839m.g,,28.077957153320312
tspan32.L,,14.973614692687988
gp1bb.S,,14.632413864135742
lyar.L,,11.615769386291504
Xelaev18022531m.g,,10.270402908325195
hba1.S,,9.723289489746094
tal1.L,,8.86198902130127
hbg1.L,,8.84782886505127
Xelaev18037640m.g,,7.646475791931152
loc100493672.L,,7.429118633270264
Xelaev18022529m.g,,7.098597049713135
fip1l1.L,,6.644457817077637
Xelaev18032295m.g,,6.0840349197387695
Xelaev18037639m.g,,5.626753807067871
Xelaev18037638m.g,,4.970220565795898
aplnr.S,,3.791311740875244
hebp2.L,,3.507094383239746
tal1.S,,2.558181047439575
Xelaev18003790m.g,,2.2627220153808594
hba1.L,,2.2626962661743164
Xelaev18014009m.g,,2.205732822418213
cndp2.S,,2.1829919815063477
Xelaev18036117m.g,,2.014220952987671
Xelaev18044446m.g,,1.9185051918029785
mbnl1.L,,1.6001509428024292
slc10a4.L,,1.5813260078430176
bhlhe40.S,,1.5407426357269287
reep1.L,,0.9075073599815369
loc100488751.S,,0.7850748896598816
loc105948211.L,,0.4975358843803406
loc100137715.S,,0.4633104205131531
pttg1ip.1.S,,0.4236811101436615
pecam1.L,,0.4145813584327698
Xelaev18014011m.g,,0.39985209703445435
lgals2.L,,0.39313724637031555
cck.L,,0.37388095259666443
hpgd.S,,0.27898478507995605
ache.L,,0.2319408357143402
Xelaev18038130m.g,,0.22526311874389648
loc101732051.L,,0.14329394698143005
tmem38a.S,,0.14175161719322205
loc101734506.L,,0.1281219869852066
eln2.S,,0.11398109793663025
gpx2.S,,0.10564965009689331
ocm2.L,,0.10558967292308807
nppc.L,,0.10553540289402008
ocm2.S,,0.09782946854829788
loc101731328.L,,0.09343668073415756
cck.S,,0.0738033801317215
lyve1.L,,0.0608820766210556
loc100485975.L,,0.060353685170412064
loc100492113.L,,0.05280483514070511
adh1b.S,,0.037838514894247055
loc100496565.S,,0.036707472056150436
loc100492420.L,,0.02264084294438362
pcdh8.2.S,,0.022592289373278618
Xelaev18004036m.g,,0.015094847418367863
